Item No.,Description,Current Unit Cost (LCY),Item Replenishment System,Base Unit of Measure,Production BOM No.,Status,Type,No.,Description1,Quantity per,BOM Unit of Measure Code,Line Item Replenishment System,BOM Unit Cost (LCY)
1211,BSEN SHEET CODE 3 (1.32MM) 2400MM X 460MM,33.98,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1212,BSEN SHEET CODE 3 (1.32MM) 6000MM X 150MM,18.54,Purchase,EA,1212,Certified,Item,2083,BSEN BLOCK,13.,KG,Purchase,0.00
1213,BSEN SHEET CODE 3 (1.32MM) 6000MM X 1600MM,284.47,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1214,BSEN SHEET CODE 3 (1.32MM) 6000MM X 60MM,17.08,Prod. Order,EA,1214,Certified,Item,1213,BSEN SHEET CODE 3 (1.32MM) 6000MM X 1600MM,0.04,EA,Purchase,284.47
1215,BSEN SHEET CODE 4 (1.8MM) 1190MM X 590MM,27.96,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1216,BSEN SHEET CODE 4 (1.8MM) 2000MM X 600MM,41.89,Purchase,EA,1216,Certified, ,,,0.,,Purchase,0.00
1217,BSEN SHEET CODE 4 (1.8MM) 2390MM X 590MM,55.12,Purchase,EA,1217,Certified,Item,2083,BSEN BLOCK,29.,KG,Purchase,0.00
1218,BSEN SHEET CODE 4 (1.8MM) 2400MM X 460MM,46.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1219,BSEN SHEET CODE 4 (1.8MM) 2400MM X 536MM,51.64,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1220,BSEN SHEET CODE 4 (1.8MM) 2400MM X 600MM,57.57,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1221,BSEN SHEET CODE 4 (1.8MM) 3000MM X 600MM,73.87,Purchase,EA,1221,Certified,Item,2083,BSEN BLOCK,36.74,KG,Purchase,0.00
1222,BSEN SHEET CODE 4 (1.8MM) 6000MM X 150MM,35.45,Purchase,EA,1222,Certified,Item,2083,BSEN BLOCK,18.37,KG,Purchase,0.00
1223,BSEN SHEET CODE 4 (1.8MM) 6000MM X 1600MM,384.38,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1224,BSEN SHEET CODE 4 (1.8MM) 6000MM X 60MM,27.91,Prod. Order,EA,1224,Certified,Item,1223,BSEN SHEET CODE 4 (1.8MM) 6000MM X 1600MM,0.04,EA,Purchase,384.38
1225,BSEN SHEET CODE 5 (2.24MM) 1190MM X 590MM,35.55,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1226,BSEN SHEET CODE 5 (2.24MM) 1990MM X 590MM,57.02,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1228,BSEN SHEET CODE 5 (2.24MM) 2390MM X 590MM,72.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1229,BSEN SHEET CODE 5 (2.24MM) 2400MM X 460MM,56.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1230,BSEN SHEET CODE 5 (2.24MM) 2400MM X 600MM,69.67,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1231,BSEN SHEET CODE 5 (2.24MM) 3800MM X 1600MM,308.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1233,BSEN SHEET CODE 5 (2.24MM) 6000MM X 1600MM,453.68,Purchase,EA,,New, ,,,0.,,Purchase,0.00
